SN_EOR_WELL_COMP_FK,PERF_TOP_MD,PERF_BOTM_TVD,PERF_TOP_TVD,PERF_BASE_MD
-21904,14526,13469,13444,14566
-22700,14346,13354,13330,14384
-25069,14211,13250,13245,14219
-26039,13694,12920,12911,13708
-26904,13028,12492,12489,13034
-25221,13848,13017,13010,13858
-25221,13896,13045,13042,13902
-25908,13750,12957,12947,13764
-23280,8700,7911,7795,10110
-22617,9222,8828,8811,9240
-23785,26400,26309,26232,26482
-22558,9950,9763,9733,9980
-23882,31618,30143,30059,31735
-22646,8960,7688,7635,9080
-23013,10577,9333,9304,10629
-23014,14090,10868,10832,14155
-23208,10577,9333,9304,10629
-23208,14090,10868,10832,14155
-22789,14090,10868,10832,14155
-22651,8252,6597,6565,8284
-23767,10528,7101,7053,10618
-23945,14045,12645,12640,14052
-23945,14056,12652,12647,14064
-23945,14069,12679,12654,14110
-23812,18615,16955,16828,18750
-24322,24380,24220,24166,24440
-24322,25832,25544,25461,25925
-24472,18902,16980,16857,19052
-24472,19300,17308,17184,19450
-23928,18902,16980,16857,19052
-25183,18902,16980,16857,19052
-25183,19300,17308,17184,19450
-25181,19300,17308,17184,19450
-25093,22340,20176,20121,22410
-27506,21475,19468,19454,21492
-24114,12436,9146,9119,12490
-30045,12436,9146,9119,12490
-31114,8168,6757,6697,8260
-27428,9750,7747,7599,10008
-27773,8168,6757,6697,8260
-24954,13093,11858,11837,13117
-24272,7999,7372,7342,8053
-24272,8094,7400,7395,8102
-27490,25008,25247,24773,25535
-23925,6825,5311,5310,7169
-24492,14632,11119,11110,14645
-25451,14164,10833,10780,14240
-28108,20455,19822,19737,20540
-28284,13049,10556,10462,13149
-28285,5220,4616,4564,5290
-28331,13049,10584,10462,13180
-26884,11364,10218,10172,11400
-26883,11646,10415,10401,11660
-27094,15860,13742,13689,15950
-27190,8344,8169,8124,8394
-27191,2650,2692,2643,2700
-27269,21370,16763,16731,21420
-28847,9142,8264,8219,9188
-28347,9270,8447,8342,9380
-30146,9270,8447,8342,9380
-31363,9142,8264,8219,9188
-27522,14916,14231,14190,14958
-27522,14870,14177,14148,14900
-25088,14916,14235,14194,14958
-2987,3572,2855,2833,3594
-19074,11840,11054,11038,11856
-12887,1134,1063,1054,1146
-12009,1512,1402,1327,1522
-150,12944,12951,12941,12954
-1477,12321,12343,12319,12345
-13614,11246,11256,11246,11256
-13508,12069,12084,12069,12084
-1178,5704,5118,5098,5728
-6040,5470,5209,5189,5490
-21281,5286,5010,5005,5291
-26096,4596,4336,4324,4608
-8230,9812,8395,8391,9816
-8957,9640,8388,8369,9660
-9092,9552,8141,8133,9560
-9091,9594,8188,8174,9608
-2236,10335,9615,9585,10382
-19804,8834,8576,8554,8860
-21219,8834,8576,8554,8860
-21219,9034,8745,8720,9064
-3321,9834,7682,7624,9918
-2592,10126,7892,7823,10230
4,9682,6180,6168,9700
-3,9298,5930,5924,9308
-2,9682,6180,6168,9700
-711,9228,5888,5879,9242
-2375,7546,7302,7235,7622
-8731,11113,10555,10548,11120
-20911,8760,8400,8348,8816
-3575,12250,10861,10706,12430
-23153,12096,10602,10573,12130
-23153,12154,10636,10623,12170
-27106,11114,9873,9837,11167
-165,8394,7825,7756,8466
-6854,8112,7504,7485,8132
-15679,7006,6602,6595,7016
